"variable_id","device_serial","label","value","value_description","unit","timestamp_str","timestamp","bitfield_status"
"1131201","000000008204526","High Circuit O2 Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"1131205","000000008204526","NIBP alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"1816","000000008204526","Air Pressure Sensor Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"1188","000000008204526","Low Expired Tidal Volume Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"1131204","000000008204526","NIBP alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"1131207","000000008204526","Ventilation Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"1131203","000000008204526","Pressure alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"1817","000000008204526","O2 Pressure Sensor Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"2046","000000008204526","2046","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"2120","000000008204526","Battery alarm variable","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"1370","000000008204526","Battery Low Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"1131206","000000008204526","Ventilation Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"1131202","000000008204526","Ventilation Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"2132","000000008204526","AC Power Supply FailureAlarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"2119","000000008204526","Generic Gas Supply Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"297","000000008204526","Generic alarm variable","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"286","000000008204526","Generic alarm variable","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"1131208","000000008204526","Pressure alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"296","000000008204526","Generic alarm variable","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"2117","000000008204526","High Airway Pressure Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"295","000000008204526","Generic alarm variable","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"2546","000000008204526","Low Expired Minute VolumeAlarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"2973","000000008204526","Patient Disconnected Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"32220","000000008204526","Ventilation Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"31060","000000008204526","Respiration alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"2122","000000008204526","Device Hardware Error","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"298","000000008204526","Generic alarm variable","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"3717","000000008204526","Pressure alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"3258","000000008204526","Pressure alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"294","000000008204526","Generic alarm variable","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"6507","000000008204526","Device Display Failure","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"72111","000000008204526","Respiration alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"5713","000000008204526","5713","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"6501","000000008204526","O2 Replacement Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"5712","000000008204526","5712","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"72312","000000008204526","Pressure alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"810","000000008204526","810","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"72220","000000008204526","Ventilation Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"72313","000000008204526","Pressure alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"7629","000000008204526","O2 Sensor Disconnected Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"812","000000008204526","812","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"8023","000000008204526","Respiration alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"8577","000000008204526","Sub-Atmospheric Paw Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"811","000000008204526","811","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
"6992","000000008204526","Ventilation Alarm","0","0","139","20240814114636","2024-08-14T09:46:36.000000Z",
